Company,Industry,Symbol,Range,Camarilla H4,Camarilla L4,Day High,Day Low,Day Close,Central Pivot,BC,TC
Bajaj Holdings & Investment Ltd.,FINANCIAL SERVICES,BAJAJHLDNG,78.800048828125,3699.7399291992188,3613.0598754882812,3690,3611.199951171875,3656.39990234375,3652.5332845052085,3650.5999755859375,3654.4665934244795
Balaji Amines Ltd.,CHEMICALS,BALAMINES,218.14990234375,2811.5825439453124,2571.6176513671876,2765.949951171875,2547.800048828125,2691.60009765625,2668.4500325520835,2656.875,2680.025065104167
Balkrishna Industries Ltd.,AUTOMOBILE,BALKRISIND,27.75,2261.2625,2230.7375,2255.25,2227.5,2246,2242.9166666666665,2241.375,2244.458333333333
Balmer Lawrie & Co. Ltd.,INDUSTRIAL MANUFACTURING,BALMLAWRIE,5.5,144.32500305175782,138.2750030517578,146.1999969482422,140.6999969482422,141.3000030517578,142.73333231608072,143.4499969482422,142.01666768391925
Balrampur Chini Mills Ltd.,CONSUMER GOODS,BALRAMCHIN,17,359.85,341.15,363.70001220703125,346.70001220703125,350.5,353.6333414713542,355.20001220703125,352.0666707356771
Bandhan Bank Ltd.,FINANCIAL SERVICES,BANDHANBNK,7.350006103515625,336.8925094604492,328.80750274658203,339.5,332.1499938964844,332.8500061035156,334.8333333333333,335.8249969482422,333.84166971842444
Bank of Baroda,FINANCIAL SERVICES,BANKBARODA,3,85.15,81.85,84,81,83.5,82.83333333333333,82.5,83.16666666666666
Bank of India,FINANCIAL SERVICES,BANKINDIA,2.25,78.8875015258789,76.41250152587891,79.25,77,77.6500015258789,77.96666717529297,78.125,77.80833435058594
Bank of Maharashtra.,FINANCIAL SERVICES,MAHABANK,0.9000015258789062,25.7450008392334,24.7549991607666,25.950000762939453,25.049999237060547,25.25,25.416666666666668,25.5,25.333333333333336
Bata India Ltd.,CONSUMER GOODS,BATAINDIA,33.6500244140625,1650.4574645996095,1613.4424377441405,1659.1500244140625,1625.5,1631.949951171875,1638.8666585286458,1642.3250122070312,1635.4083048502603
Bayer Cropscience Ltd.,FERTILISERS & PESTICIDES,BAYERCROP,117.39990234375,5667.9698486328125,5538.8299560546875,5697.89990234375,5580.5,5603.39990234375,5627.2666015625,5639.199951171875,5615.333251953125
Berger Paints India Ltd.,CONSUMER GOODS,BERGEPAINT,12,812.5000244140625,799.3000244140625,816,804,805.9000244140625,808.6333414713541,810,807.2666829427083
Bharat Dynamics Ltd.,INDUSTRIAL MANUFACTURING,BDL,4,356.49998779296874,352.09998779296876,357,353,354.29998779296875,354.76666259765625,355,354.5333251953125
Bharat Electronics Ltd.,INDUSTRIAL MANUFACTURING,BEL,5.04998779296875,177.727490234375,172.17250366210936,175.89999389648438,170.85000610351562,174.9499969482422,173.8999989827474,173.375,174.4249979654948
Bharat Forge Ltd.,INDUSTRIAL MANUFACTURING,BHARATFORG,14,749.1000244140625,733.7000244140625,750,736,741.4000244140625,742.4666748046875,743,741.933349609375
Bharat Heavy Electricals Ltd.,INDUSTRIAL MANUFACTURING,BHEL,1.25,65.88749694824219,64.51249694824219,66,64.75,65.19999694824219,65.31666564941406,65.375,65.25833129882812
Bharat Petroleum Corporation Ltd.,OIL & GAS,BPCL,5.899993896484375,472.74499664306643,466.25500335693357,472.1000061035156,466.20001220703125,469.5,469.2666727701823,469.15000915527344,469.3833363850912
Bharat Rasayan Ltd.,FERTILISERS & PESTICIDES,BHARATRAS,242.2001953125,12704.059716796875,12437.639501953125,12739,12496.7998046875,12570.849609375,12602.216471354166,12617.89990234375,12586.533040364582
Bharti Airtel Ltd.,TELECOM,BHARTIARTL,6.4000244140625,538.6199890136719,531.5799621582031,535.9000244140625,529.5,535.0999755859375,533.5,532.7000122070312,534.2999877929688
Biocon Ltd.,PHARMA,BIOCON,5.4000244140625,399.52000122070314,393.57997436523436,399.95001220703125,394.54998779296875,396.54998779296875,397.01666259765625,397.25,396.7833251953125
Birla Corporation Ltd.,CEMENT & CEMENT PRODUCTS,BIRLACORPN,36,1246.749951171875,1207.149951171875,1257,1221,1226.949951171875,1234.9833170572917,1239,1230.9666341145835
Birlasoft Ltd.,IT,BSOFT,8.300018310546875,386.5650100708008,377.4349899291992,389.70001220703125,381.3999938964844,382,384.3666687011719,385.5500030517578,383.18333435058594
Bliss GVS Pharma Ltd.,PHARMA,BLISSGVS,2.2999954223632812,110.6149959564209,108.08500099182129,111.3499984741211,109.05000305175781,109.3499984741211,109.91666666666667,110.20000076293945,109.63333257039389
Blue Dart Express Ltd.,SERVICES,BLUEDART,90.7001953125,5898.785009765625,5799.014794921875,5910.7001953125,5820,5848.89990234375,5859.86669921875,5865.35009765625,5854.38330078125
Blue Star Ltd.,CONSUMER GOODS,BLUESTARCO,14.4000244140625,823.4200134277344,807.5799865722656,824.4000244140625,810,815.5,816.6333414713541,817.2000122070312,816.066670735677
Bombay Burmah Trading Corporation Ltd.,CONSUMER GOODS,BBTC,32.6500244140625,1352.9575134277343,1317.0424865722657,1358.8499755859375,1326.199951171875,1335,1340.0166422526042,1342.5249633789062,1337.5083211263022
Bosch Ltd.,AUTOMOBILE,BOSCHLTD,173.9501953125,15172.272216796875,14980.927001953125,15145,14971.0498046875,15076.599609375,15064.216471354166,15058.02490234375,15070.408040364582
Brigade Enterprises Ltd.,CONSTRUCTION,BRIGADE,5.95001220703125,289.72251892089844,283.17750549316406,291,285.04998779296875,286.45001220703125,287.5,288.0249938964844,286.9750061035156
Britannia Industries Ltd.,CONSUMER GOODS,BRITANNIA,61.199951171875,3698.6599731445312,3631.3400268554688,3706.199951171875,3645,3665,3672.066650390625,3675.5999755859375,3668.5333251953125
Burger King India Ltd.,CONSUMER SERVICES,BURGERKING,2.5,156.375,153.625,156.8000030517578,154.3000030517578,155,155.36666870117188,155.5500030517578,155.18333435058594
CCL Products (I) Ltd.,CONSUMER GOODS,CCL,9.75,348.3625,337.6375,346.29998779296875,336.54998779296875,343,341.9499918619792,341.42498779296875,342.4749959309896
CESC Ltd.,POWER,CESC,11.79998779296875,779.4400054931641,766.4600189208984,776.0999755859375,764.2999877929688,772.9500122070312,771.1166585286459,770.1999816894531,772.0333353678386
CRISIL Ltd.,FINANCIAL SERVICES,CRISIL,199,2751.95,2533.05,2824,2625,2642.5,2697.1666666666665,2724.5,2669.833333333333
CSB Bank Ltd.,FINANCIAL SERVICES,CSBBANK,8.70001220703125,342.5849945068359,333.0149810791016,342,333.29998779296875,337.79998779296875,337.6999918619792,337.6499938964844,337.749989827474
Cadila Healthcare Ltd.,PHARMA,CADILAHC,14.699951171875,632.0849731445312,615.9150268554688,631.5999755859375,616.9000244140625,624,624.1666666666666,624.25,624.0833333333333
Can Fin Homes Ltd.,FINANCIAL SERVICES,CANFINHOME,11.3499755859375,523.8424621582031,511.35748901367185,527.5999755859375,516.25,517.5999755859375,520.4833170572916,521.9249877929688,519.0416463216145
Canara Bank,FINANCIAL SERVICES,CANBK,5.899993896484375,156.6949935913086,150.2050003051758,155.25,149.35000610351562,153.4499969482422,152.68333435058594,152.3000030517578,153.06666564941406
Caplin Point Laboratories Ltd.,PHARMA,CAPLIPOINT,33.54998779296875,678.8525177001953,641.9475311279297,687.5999755859375,654.0499877929688,660.4000244140625,667.3499959309896,670.8249816894531,663.8750101725261
Capri Global Capital Ltd.,FINANCIAL SERVICES,CGCL,17.79998779296875,539.0899810791016,519.5099945068359,544.9500122070312,527.1500244140625,529.2999877929688,533.8000081380209,536.0500183105469,531.5499979654949
Carborundum Universal Ltd.,INDUSTRIAL MANUFACTURING,CARBORUNIV,8.199951171875,590.8599487304688,581.8400024414062,588.3499755859375,580.1500244140625,586.3499755859375,584.9499918619791,584.25,585.6499837239583
Castrol India Ltd.,OIL & GAS,CASTROLIND,2,146.70000610351562,144.50000610351563,146.35000610351562,144.35000610351562,145.60000610351562,145.43333943684897,145.35000610351562,145.5166727701823
Ceat Ltd.,AUTOMOBILE,CEATLTD,18,1350.4999755859376,1330.6999755859374,1356,1338,1340.5999755859375,1344.8666585286458,1347,1342.7333170572915
Central Bank of India,FINANCIAL SERVICES,CENTRALBK,2.5500011444091797,26.102501392364502,23.297500133514404,25.350000381469727,22.799999237060547,24.700000762939453,24.28333346048991,24.074999809265137,24.491667111714683
Central Depository Services (India) Ltd.,FINANCIAL SERVICES,CDSL,12,978.5000244140625,965.3000244140625,976,964,971.9000244140625,970.6333414713541,970,971.2666829427083
Century Plyboards (India) Ltd.,CONSUMER GOODS,CENTURYPLY,9.600006103515625,416.679997253418,406.11999053955077,419.6000061035156,410,411.3999938964844,413.6666666666667,414.8000030517578,412.53333028157556
Century Textile & Industries Ltd.,PAPER AND JUTE,CENTURYTEX,16,604.7500122070312,587.1500122070313,609.5,593.5,595.9500122070312,599.6500040690104,601.5,597.8000081380208
Cera Sanitaryware Ltd,CONSUMER GOODS,CERA,80,4396.2998046875,4308.2998046875,4385,4305,4352.2998046875,4347.433268229167,4345,4349.866536458334
Chalet Hotels Ltd.,CONSUMER SERVICES,CHALET,7.25,184.9875,177.0125,183.5,176.25,181,180.25,179.875,180.625
Chambal Fertilizers & Chemicals Ltd.,FERTILISERS & PESTICIDES,CHAMBLFERT,7.9000244140625,298.3450134277344,289.6549865722656,300.95001220703125,293.04998779296875,294,296,297,295
Cholamandalam Financial Holdings Ltd.,FINANCIAL SERVICES,CHOLAHLDNG,13.25,639.9875122070313,625.4125122070312,639.5,626.25,632.7000122070312,632.8166707356771,632.875,632.7583414713542
Cholamandalam Investment and Finance Company Ltd.,FINANCIAL SERVICES,CHOLAFIN,6.5,535.7750122070313,528.6250122070312,535.5999755859375,529.0999755859375,532.2000122070312,532.2999877929688,532.3499755859375,532.25
Cipla Ltd.,PHARMA,CIPLA,11.5999755859375,963.4799621582031,950.7199890136719,960.5999755859375,949,957.0999755859375,955.566650390625,954.7999877929688,956.3333129882812
City Union Bank Ltd.,FINANCIAL SERVICES,CUB,4.1999969482421875,176.5099952697754,171.88999862670897,177.39999389648438,173.1999969482422,174.1999969482422,174.9333292643229,175.29999542236328,174.56666310628253
Coal India Ltd.,METALS,COALINDIA,2.5,150.22500610351562,147.47500610351562,149.25,146.75,148.85000610351562,148.28333536783853,148,148.56667073567706
Cochin Shipyard Ltd.,INDUSTRIAL MANUFACTURING,COCHINSHIP,22.899993896484375,415.5949966430664,390.4050033569336,423,400.1000061035156,403,408.7000020345052,411.5500030517578,405.85000101725257
Coforge Ltd.,IT,COFORGE,101.89990234375,4153.745141601563,4041.6552490234376,4157.2998046875,4055.39990234375,4097.7001953125,4103.466634114583,4106.349853515625,4100.583414713541
Colgate Palmolive (India) Ltd.,CONSUMER GOODS,COLPAL,34.64990234375,1696.0073974609375,1657.8925048828125,1708.199951171875,1673.550048828125,1676.949951171875,1686.2333170572917,1690.875,1681.5916341145835
Computer Age Management Services Ltd.,FINANCIAL SERVICES,CAMS,50.550048828125,2815.802526855469,2760.197473144531,2794.10009765625,2743.550048828125,2788,2775.2167154947915,2768.8250732421875,2781.6083577473955
Container Corporation of India Ltd.,SERVICES,CONCOR,13.70001220703125,706.3849822998047,691.3149688720703,707.6500244140625,693.9500122070312,698.8499755859375,700.1500040690104,700.8000183105469,699.4999898274739
Coromandel International Ltd.,FERTILISERS & PESTICIDES,COROMANDEL,44.8499755859375,953.1674865722656,903.8325134277344,955.8499755859375,911,928.5,931.7833251953125,933.4249877929688,930.1416625976562
CreditAccess Grameen Ltd.,FINANCIAL SERVICES,CREDITACC,20.54998779296875,776.4525177001954,753.8475311279296,768.7000122070312,748.1500244140625,765.1500244140625,760.6666870117188,758.4250183105469,762.9083557128906
Crompton Greaves Consumer Electricals Ltd.,CONSUMER GOODS,CROMPTON,5.45001220703125,414.09751281738284,408.1024993896484,415,409.54998779296875,411.1000061035156,411.8833312988281,412.2749938964844,411.4916687011719
Cummins India Ltd.,INDUSTRIAL MANUFACTURING,CUMMINSIND,30.95001220703125,874.9725189208984,840.9275054931641,865.9000244140625,834.9500122070312,857.9500122070312,852.933349609375,850.4250183105469,855.4416809082031
Cyient Ltd.,IT,CYIENT,18.5,849.675,829.325,856.7999877929688,838.2999877929688,839.5,844.8666585286459,847.5499877929688,842.183329264323
DCB Bank Ltd.,FINANCIAL SERVICES,DCBBANK,2.0500030517578125,106.42750473022461,104.17250137329101,106.75,104.69999694824219,105.30000305175781,105.58333333333333,105.7249984741211,105.44166819254556
DCM Shriram Ltd.,CONSUMER GOODS,DCMSHRIRAM,50.4000244140625,853.1700256347656,797.7299987792969,868,817.5999755859375,825.4500122070312,837.0166625976562,842.7999877929688,831.2333374023438
DLF Ltd.,CONSTRUCTION,DLF,6.149993896484375,296.33250885009767,289.56751556396483,296.3999938964844,290.25,292.95001220703125,293.2000020345052,293.3249969482422,293.0750071207682
Dabur India Ltd.,CONSUMER GOODS,DABUR,12.25,570.7375,557.2625,575.25,563,564,567.4166666666666,569.125,565.7083333333333
Dalmia Bharat Ltd.,CEMENT & CEMENT PRODUCTS,DALBHARAT,62.3499755859375,1866.8425354003907,1798.2575622558593,1872.5,1810.1500244140625,1832.550048828125,1838.4000244140625,1841.3250122070312,1835.4750366210938
Deepak Nitrite Ltd.,CHEMICALS,DEEPAKNTR,64.6500244140625,1820.5575134277344,1749.4424865722656,1803,1738.3499755859375,1785,1775.4499918619792,1770.6749877929688,1780.2249959309897
Delta Corp Ltd.,CONSUMER SERVICES,DELTACORP,6.350006103515625,184.64249725341796,177.6574905395508,186,179.64999389648438,181.14999389648438,182.26666259765625,182.8249969482422,181.7083282470703
Dhani Services Ltd.,FINANCIAL SERVICES,DHANI,5.600006103515625,180.3800064086914,174.21999969482422,180.5,174.89999389648438,177.3000030517578,177.56666564941406,177.6999969482422,177.43333435058594
Dhanuka Agritech Ltd.,FERTILISERS & PESTICIDES,DHANUKA,15.9000244140625,969.2950012207032,951.8049743652343,965.9500122070312,950.0499877929688,960.5499877929688,958.8499959309896,958,959.6999918619792
Dilip Buildcon Ltd.,CONSTRUCTION,DBL,16.8499755859375,565.2174987792969,546.6825256347656,571,554.1500244140625,555.9500122070312,560.3666788736979,562.5750122070312,558.1583455403645
Dish TV India Ltd.,MEDIA ENTERTAINMENT & PUBLICATION,DISHTV,0.6000003814697266,14.479999828338624,13.819999408721923,14.350000381469727,13.75,14.149999618530273,14.083333333333334,14.050000190734863,14.116666475931805
Dishman Carbogen Amcis Ltd.,PHARMA,DCAL,9.449996948242188,203.84749221801758,193.45249557495117,203.9499969482422,194.5,198.64999389648438,199.03333028157553,199.2249984741211,198.84166208902997
Divi's Laboratories Ltd.,PHARMA,DIVISLAB,48.75,4277.8125,4224.1875,4289,4240.25,4251,4260.083333333333,4264.625,4255.541666666666
Dixon Technologies (India) Ltd.,CONSUMER GOODS,DIXON,99,4553.45,4444.55,4585,4486,4499,4523.333333333333,4535.5,4511.166666666666
Dr. Lal Path Labs Ltd.,HEALTHCARE SERVICES,LALPATHLAB,59.5,3198.225,3132.775,3210,3150.5,3165.5,3175.3333333333335,3180.25,3170.416666666667
Dr. Reddy's Laboratories Ltd.,PHARMA,DRREDDY,69,5347.2498046875,5271.3498046875,5336,5267,5309.2998046875,5304.099934895833,5301.5,5306.699869791666
E.I.D. Parry (India) Ltd.,CONSUMER GOODS,EIDPARRY,32.550018310546875,468.602522277832,432.7975021362305,460.95001220703125,428.3999938964844,450.70001220703125,446.68333943684894,444.6750030517578,448.69167582194007
EIH Ltd.,CONSUMER SERVICES,EIHOTEL,4.150001525878906,116.13249931335449,111.5674976348877,115.8499984741211,111.69999694824219,113.8499984741211,113.7999979654948,113.77499771118164,113.82499821980795
EPL Ltd.,INDUSTRIAL MANUFACTURING,EPL,5.100006103515625,283.45499725341796,277.8449905395508,284.25,279.1499938964844,280.6499938964844,281.34999593098956,281.6999969482422,280.99999491373694
Edelweiss Financial Services Ltd.,FINANCIAL SERVICES,EDELWEISS,3.0500030517578125,75.0775032043457,71.72249984741211,75.9000015258789,72.8499984741211,73.4000015258789,74.0500005086263,74.375,73.7250010172526
Eicher Motors Ltd.,AUTOMOBILE,EICHERMOT,42,2743.1,2696.9,2725,2683,2720,2709.3333333333335,2704,2714.666666666667
Elgi Equipments Ltd.,INDUSTRIAL MANUFACTURING,ELGIEQUIP,5.25,214.9875061035156,209.21250610351564,215.75,210.5,212.10000610351562,212.78333536783853,213.125,212.44167073567706
Emami Ltd.,CONSUMER GOODS,EMAMILTD,18.4000244140625,550.0700256347657,529.8299987792968,557.4000244140625,539,539.9500122070312,545.4500122070312,548.2000122070312,542.7000122070312
Endurance Technologies Ltd.,AUTOMOBILE,ENDURANCE,41.5499267578125,1572.8524597167968,1527.1475402832032,1566.5999755859375,1525.050048828125,1550,1547.2166748046875,1545.8250122070312,1548.6083374023438
Engineers India Ltd.,CONSTRUCTION,ENGINERSIN,1.2000045776367188,81.51000099182129,80.1899959564209,81.9000015258789,80.69999694824219,80.8499984741211,81.14999898274739,81.29999923706055,80.99999872843424
Equitas Holdings Ltd.,FINANCIAL SERVICES,EQUITAS,1.6500015258789062,95.35749778747558,93.5424961090088,94.9000015258789,93.25,94.44999694824219,94.1999994913737,94.07500076293945,94.32499821980795
